X,Y,latitude,longitude,dataset
4415490.0,5675848.4,51.21131312719488,10.789091486257721,All Points
4407839.3,5679498.9,51.242933739851516,10.678695491316025,All Points
4411971.7,5676242.2,51.21432053711099,10.738658143202368,All Points
4410119.8,5677194.8,51.22259239315652,10.711922644183717,All Points
4410449.1,5677385.9,51.22436141351333,10.716587331403922,All Points
4410942.4,5677743.0,51.227647581216075,10.723558229321837,All Points
4410185.4,5677862.9,51.22860642736688,10.712694008960622,All Points
4411316.2,5680498.3,51.252465671185085,10.728225833514545,All Points
4414062.1,5674935.2,51.20289361959215,10.768880885298664,All Points
4412526.7,5677148.5,51.22255016599519,10.746378020508612,All Points
4410370.9,5678783.6,51.236909219057445,10.715118630216832,All Points
4399687.12,5673102.73,51.18408461016868,10.563777638157886,All Points
4399547.42,5671479.76,51.16947646719559,10.562233772670034,All Points
4393738.44,5670811.33,51.16242082356683,10.47940554001542,All Points
4399370.1,5671898.8,51.173210694287164,10.559582065437358,All Points
4466436.2,5655896.1,51.03724299448467,11.51998090411713,All Points
4494787.8,5618778.5,50.70454940633122,11.92471839861367,All Points
4414720.8,5571710.1,50.27528127594411,10.802192845347053,All Points
4446653.0,5658621.0,51.0602375694551,11.237554481983828,All Points
4400240.6,5652723.6,51.0010558690689,10.577319220646846,All Points
4397909.3,5653419.5,51.00690034961996,10.543923065017186,All Points
4399141.2,5654773.4,51.01928376943379,10.561092732179109,All Points
4402205.8,5652925.7,51.003209293522694,10.605252162852052,All Points
4397513.3,5654774.6,51.019006764295035,10.537900161592235,All Points
4396802.5,5653897.8,51.01100084973586,10.528023087475805,All Points
4400040.3,5653971.1,51.01223123332057,10.574123161219276,All Points
4396273.6,5655048.5,51.0212457369844,10.520160436353605,All Points
4398273.4,5655676.9,51.0272497267955,10.548475955218764,All Points
4401188.2,5653492.0,51.008124302078656,10.590605249018735,All Points
4397216.5,5656020.8,51.0301520016205,10.533318565398977,All Points
4425540.0,5691350.0,51.35202263429819,10.92965501285224,All Points
4423576.3,5688775.8,51.328628399439246,10.90202508487563,All Points
4452510.0,5612901.1,50.649800550208134,11.327025687834961,All Points
4362011.3,5691689.39,51.343201090640726,10.0180518039953,All Points
4479579.4,5588753.4,50.43430503238333,11.71108546662955,All Points
4458782.5,5660101.7,51.074545824332255,11.41038943421083,All Points
4453936.2,5659434.6,51.06818109354326,11.34133038127529,All Points
4456224.0,5662381.6,51.09484844295994,11.373609758747902,All Points
4458982.2,5664557.3,51.11460816490556,11.412732265077933,All Points
4459104.5,5666396.1,51.13114441940989,11.414269992045016,All Points
4455920.2,5666309.1,51.1301260949311,11.36879326466229,All Points
4461195.2,5666374.6,51.13109673625472,11.444138052920447,All Points
4457356.2,5667469.7,51.14066650939279,11.389168492804949,All Points
4455375.6,5668458.9,51.1494064920357,11.36074742884541,All Points
4379809.96,5657988.62,51.04445727674119,10.284646292110253,All Points
4382608.59,5657654.69,51.042035452587264,10.324643081462849,All Points
4360277.06,5627655.67,50.76754159297606,10.017889337556923,All Points
4432660.2,5581707.1,50.36746016642391,11.052024903400167,All Points
4433034.4,5582727.4,50.37667396202586,11.057102029383772,All Points
4404875.1,5606580.4,50.587166361320705,10.655269350000244,All Points
4407533.8,5701710.0,51.442471420843034,10.668553750796969,All Points
4432701.0,5654500.0,51.02173387042493,11.039335899788822,All Points
4448150.3,5654874.5,51.02670107173805,11.259446552279176,All Points
4447764.8,5653848.1,51.01744080838894,11.254100154410317,All Points
4447272.2,5652635.4,51.006496005963406,11.247257123455354,All Points
4455209.6,5653473.4,51.014701237936684,11.36023350113995,All Points
4415997.7,5656150.7,51.03437076684769,10.800944505964603,All Points
4478795.0,5646270.8,50.951313316790895,11.696738291725556,All Points
4408179.3,5642181.9,50.90764342862149,10.6930401491082,All Points
4409458.0,5642593.4,50.911543411575686,10.711112997670803,All Points
4440032.9,5677432.2,51.22865229427683,11.140002834090595,All Points
4451821.8,5664811.0,51.11633090371779,11.31045028484106,All Points
4455446.6,5664238.1,51.11147503632264,11.362284133669705,All Points
4463771.7,5630407.0,50.8079693065153,11.48452915897428,All Points
4412860.3,5643371.3,50.91905792611628,10.759290969249285,All Points
4428869.12,5690723.56,51.346819380967666,10.977559717575133,All Points
4428186.1,5689643.8,51.33702981438104,10.967975934544343,All Points
4382091.27,5676845.77,51.21435704196429,10.310993831826757,All Points
4380897.62,5678133.15,51.225675914939714,10.293490966458362,All Points
4380601.17,5676065.27,51.2070350860976,10.289937475429301,All Points
4379049.79,5678751.93,51.230846850874826,10.266842576458883,All Points
4381905.01,5668533.89,51.13963900781037,10.311059592595017,All Points
4425463.9,5689057.9,51.33141409386792,10.929042702404807,All Points
4419570.6,5670916.6,51.16758149402229,10.848579350705576,All Points
4364949.16,5627334.92,50.765765897072804,10.084195135744096,All Points
4407898.0,5685198.2,51.294157460838406,10.678067908175626,All Points
4402868.7,5689303.1,51.330207391705045,10.604869689418775,All Points
4403351.9,5690008.8,51.33663091755623,10.61160891860422,All Points
4404306.4,5690367.0,51.340011040266404,10.625205322709165,All Points
4406226.6,5691376.4,51.34940128743277,10.652487724627672,All Points
4416254.24,5716137.05,51.57347040968658,10.79052185398913,All Points
4458846.6,5656519.4,51.04235164667549,11.411711628603518,All Points
4476812.6,5657389.5,51.051179617801004,11.667816900540302,All Points
4455281.3,5690669.8,51.349028787422476,11.356623479746352,All Points
4396365.8,5687250.9,51.31062006203045,10.512196501339554,All Points
4397984.3,5687087.6,51.309445116924834,10.535447109644238,All Points
4396420.6,5688058.6,51.31788750361824,10.51274758496436,All Points
4407153.9,5675860.4,51.210126729006205,10.669825429162236,All Points
4412813.1,5673346.8,51.188430342207184,10.751400208813834,All Points
4412088.6,5672293.1,51.17885039813905,10.741297664421193,All Points
4405252.7,5677194.6,51.22180366704188,10.642274093521136,All Points
4408170.9,5674603.6,51.19899730560243,10.684696576391522,All Points
4411141.7,5673001.1,51.18506638423685,10.727584805203168,All Points
4410582.3,5674918.8,51.202212225639585,10.719108542856388,All Points
4413674.7,5672559.8,51.181488747327734,10.763910261459863,All Points
4407529.66,5674411.2,51.19716496107002,10.675574541715125,All Points
4407448.2,5676689.6,51.2176257850552,10.673821832025164,All Points
4409839.7,5676763.0,51.21866797253524,10.708022881473136,All Points
4410409.8,5673305.5,51.18768759314445,10.717043590586114,All Points
4409471.5,5674140.7,51.19504509898072,10.703415800939862,All Points
4410358.8,5673889.2,51.192924908478304,10.716168636722518,All Points
4411911.5,5672953.8,51.18476046013215,10.738603707163389,All Points
4409135.4,5674682.7,51.19986230145947,10.698471799412442,All Points
4412249.9,5673731.4,51.19180033401902,10.743252487505593,All Points
4409824.4,5676277.6,51.21430363443989,10.707925996866864,All Points
4411487.0,5672625.0,51.181740172621296,10.732614857357406,All Points
4409651.6,5674827.1,51.201241770992276,10.705818828297641,All Points
4411001.1,5672731.9,51.18262538666254,10.725641064015697,All Points
4410860.9,5673497.8,51.189486186892566,10.723446442900698,All Points
4411570.9,5672059.8,51.17667404665505,10.733953510725438,All Points
4404274.7,5650408.16,50.980933759026634,10.63538146048579,All Points
4407479.8,5650945.0,50.986281934104994,10.680871841694996,All Points
4405725.4,5647666.9,50.956538912309526,10.656743522373432,All Points
4406802.9,5648043.5,50.960098469289164,10.671978077406255,All Points
4376471.4,5684737.63,51.28407131276194,10.227880278657741,All Points
4411504.3,5665712.8,51.11962681824486,10.73456139190719,All Points
4409819.4,5666110.9,51.122941618024896,10.710403842756845,All Points
4409749.4,5667207.5,51.132785064907644,10.709129719608944,All Points
4410459.6,5666804.5,51.129275007166825,10.719373385709163,All Points
4408731.1,5668526.2,51.14447395928848,10.694251717148793,All Points
4406132.15,5670642.3,51.16306936187655,10.656571379492414,All Points
4410553.0,5665310.8,51.11586656404023,10.721077820250615,All Points
4411469.5,5665143.5,51.11450543529208,10.734204226327124,All Points
4363304.26,5621430.51,50.71233489720237,10.06308260541581,All Points
4361560.35,5626866.32,50.76075763769472,10.036365710908056,All Points
4444744.2,5659855.3,51.07115076858299,11.210141498091074,All Points
4364330.5,5632375.64,50.81090800992235,10.07357085479777,All Points
4397244.3,5648939.6,50.96652583970477,10.535718197100389,All Points
4396807.0,5647799.7,50.956204590930305,10.529818398948558,All Points
4397735.0,5650109.6,50.97712675594387,10.54237218585137,All Points
4395206.5,5649575.9,50.97187653299751,10.506536235694963,All Points
4407219.9,5683254.7,51.276583109388206,10.668853860813686,All Points
4407284.5,5682709.3,51.27169264974817,10.669920838993713,All Points
4390345.34,5613464.0,50.646476146299,10.448139655477213,All Points
4419059.9,5645289.2,50.93719723117313,10.84700940024591,All Points
4419648.0,5646283.1,50.94621180779078,10.855154947193865,All Points
4420555.2,5644215.1,50.92775199381926,10.868511807435029,All Points
4418490.5,5644391.2,50.92904660134461,10.839111467508742,All Points
4447158.0,5661943.2,51.09014410017846,11.244271371215227,All Points
4448980.5,5661518.1,51.08648836984249,11.270342009901846,All Points
4407599.0,5699888.1,51.42611088442549,10.669966541877086,All Points
4411691.6,5698846.9,51.41740705294357,10.729052638503926,All Points
4410735.8,5698224.6,51.41166541695593,10.71547331785447,All Points
4408553.2,5622025.2,50.726557856345664,10.703378116190015,All Points
4363553.96,5623413.94,50.73021301520956,10.065882503154972,All Points
4382116.1,5697798.79,51.402613862991515,10.304426683985968,All Points
4529649.5,5636232.0,50.860709054295114,12.419609118590161,All Points
4453876.0,5654617.0,51.02487472498525,11.341085531983742,All Points
4448775.3,5658391.7,51.05836994122197,11.267856715603026,All Points
4393768.78,5593079.46,50.463925263983356,10.502338241813955,All Points
4408893.3,5682075.3,51.26625489616062,10.693129269944789,All Points
4408988.0,5682958.0,51.27420206411364,10.694261050349338,All Points
4409160.2,5683434.2,51.2785087242148,10.696607017382817,All Points
4408463.8,5682159.7,51.26694451766112,10.68695558463243,All Points
4409585.0,5681999.0,51.265679381761366,10.703056399905607,All Points
4453973.1,5671143.0,51.17342011219586,11.340361516806666,All Points
4410104.7,5605004.1,50.573828175995104,10.729476276240657,All Points
4409743.7,5679562.8,51.24381240918088,10.705944014196051,All Points
4363622.0,5628075.66,50.77211045649311,10.065119941576038,All Points
4363385.15,5627310.71,50.76518237592293,10.062048200389786,All Points
4415659.8,5642437.1,50.91107818015648,10.799308883783246,All Points
4429280.6,5668426.4,51.14648451677708,10.987869718441683,All Points
4428999.4,5671551.3,51.174533807063064,10.983235113442099,All Points
4430016.6,5671989.2,51.17859470817611,10.997692686776704,All Points
4428991.2,5671561.5,51.174624458038345,10.98311586398217,All Points
4428226.9,5672499.8,51.182961668716594,10.972001364461352,All Points
4429835.3,5671174.0,51.17124611299716,10.99525955760214,All Points
4396762.5,5623470.8,50.73757346933606,10.536041463576751,All Points
4417218.9,5669625.1,51.15563968310844,10.81526141825088,All Points
4417308.2,5669285.7,51.15260250552523,10.816615516764978,All Points
4405009.7,5597323.5,50.50399558459931,10.659529127965403,All Points
4398404.7,5595329.6,50.48496828765502,10.566997618737677,All Points
4398401.6,5690263.0,51.33805214501139,10.540524655619945,All Points
4446937.5,5652233.3,51.002851117858675,11.242547730774158,All Points
4398647.3,5659706.2,51.06352275154989,10.552676257661838,All Points
4371941.5,5618980.69,50.69229001675881,10.18615539228921,All Points
4425849.1,5620667.6,50.716820879797766,10.948556464748442,All Points
4499494.4,5659647.6,51.071946686942916,11.991281503764803,All Points
4408004.6,5616842.0,50.67988987589526,10.696901782902314,All Points
4475767.4,5608475.3,50.6114486328806,11.656149685995205,All Points
4477417.9,5595879.0,50.49828165064348,11.680232253749878,All Points
4415490.0,5675848.4,51.21131312719488,10.789091486257721,SVZ
4407839.3,5679498.9,51.242933739851516,10.678695491316025,SVZ
4410119.8,5677194.8,51.22259239315652,10.711922644183717,SVZ
4410449.1,5677385.9,51.22436141351333,10.716587331403922,SVZ
4410942.4,5677743.0,51.227647581216075,10.723558229321837,SVZ
4410185.4,5677862.9,51.22860642736688,10.712694008960622,SVZ
4399547.42,5671479.76,51.16947646719559,10.562233772670034,SVZ
4399370.1,5671898.8,51.173210694287164,10.559582065437358,SVZ
4414720.8,5571710.1,50.27528127594411,10.802192845347053,SVZ
4446653.0,5658621.0,51.0602375694551,11.237554481983828,SVZ
4400240.6,5652723.6,51.0010558690689,10.577319220646846,SVZ
4397909.3,5653419.5,51.00690034961996,10.543923065017186,SVZ
4399141.2,5654773.4,51.01928376943379,10.561092732179109,SVZ
4402205.8,5652925.7,51.003209293522694,10.605252162852052,SVZ
4396802.5,5653897.8,51.01100084973586,10.528023087475805,SVZ
4400040.3,5653971.1,51.01223123332057,10.574123161219276,SVZ
4396273.6,5655048.5,51.0212457369844,10.520160436353605,SVZ
4398273.4,5655676.9,51.0272497267955,10.548475955218764,SVZ
4401188.2,5653492.0,51.008124302078656,10.590605249018735,SVZ
4397216.5,5656020.8,51.0301520016205,10.533318565398977,SVZ
4425540.0,5691350.0,51.35202263429819,10.92965501285224,SVZ
4362011.3,5691689.39,51.343201090640726,10.0180518039953,SVZ
4458782.5,5660101.7,51.074545824332255,11.41038943421083,SVZ
4453936.2,5659434.6,51.06818109354326,11.34133038127529,SVZ
4456224.0,5662381.6,51.09484844295994,11.373609758747902,SVZ
4458982.2,5664557.3,51.11460816490556,11.412732265077933,SVZ
4455920.2,5666309.1,51.1301260949311,11.36879326466229,SVZ
4461195.2,5666374.6,51.13109673625472,11.444138052920447,SVZ
4457356.2,5667469.7,51.14066650939279,11.389168492804949,SVZ
4455375.6,5668458.9,51.1494064920357,11.36074742884541,SVZ
4379809.96,5657988.62,51.04445727674119,10.284646292110253,SVZ
4382608.59,5657654.69,51.042035452587264,10.324643081462849,SVZ
4360277.06,5627655.67,50.76754159297606,10.017889337556923,SVZ
4407533.8,5701710.0,51.442471420843034,10.668553750796969,SVZ
4448150.3,5654874.5,51.02670107173805,11.259446552279176,SVZ
4447764.8,5653848.1,51.01744080838894,11.254100154410317,SVZ
4447272.2,5652635.4,51.006496005963406,11.247257123455354,SVZ
4455209.6,5653473.4,51.014701237936684,11.36023350113995,SVZ
4409458.0,5642593.4,50.911543411575686,10.711112997670803,SVZ
4440032.9,5677432.2,51.22865229427683,11.140002834090595,SVZ
4455446.6,5664238.1,51.11147503632264,11.362284133669705,SVZ
4412860.3,5643371.3,50.91905792611628,10.759290969249285,SVZ
4428869.12,5690723.56,51.346819380967666,10.977559717575133,SVZ
4382091.27,5676845.77,51.21435704196429,10.310993831826757,SVZ
4380897.62,5678133.15,51.225675914939714,10.293490966458362,SVZ
4379049.79,5678751.93,51.230846850874826,10.266842576458883,SVZ
4425463.9,5689057.9,51.33141409386792,10.929042702404807,SVZ
4419570.6,5670916.6,51.16758149402229,10.848579350705576,SVZ
4364949.16,5627334.92,50.765765897072804,10.084195135744096,SVZ
4407898.0,5685198.2,51.294157460838406,10.678067908175626,SVZ
4402868.7,5689303.1,51.330207391705045,10.604869689418775,SVZ
4403351.9,5690008.8,51.33663091755623,10.61160891860422,SVZ
4404306.4,5690367.0,51.340011040266404,10.625205322709165,SVZ
4406226.6,5691376.4,51.34940128743277,10.652487724627672,SVZ
4458846.6,5656519.4,51.04235164667549,11.411711628603518,SVZ
4397984.3,5687087.6,51.309445116924834,10.535447109644238,SVZ
4396420.6,5688058.6,51.31788750361824,10.51274758496436,SVZ
4410582.3,5674918.8,51.202212225639585,10.719108542856388,SVZ
4407153.9,5675860.4,51.210126729006205,10.669825429162236,SVZ
4412088.6,5672293.1,51.17885039813905,10.741297664421193,SVZ
4408170.9,5674603.6,51.19899730560243,10.684696576391522,SVZ
4411141.7,5673001.1,51.18506638423685,10.727584805203168,SVZ
4413674.7,5672559.8,51.181488747327734,10.763910261459863,SVZ
4410409.8,5673305.5,51.18768759314445,10.717043590586114,SVZ
4409471.5,5674140.7,51.19504509898072,10.703415800939862,SVZ
4410358.8,5673889.2,51.192924908478304,10.716168636722518,SVZ
4409135.4,5674682.7,51.19986230145947,10.698471799412442,SVZ
4412249.9,5673731.4,51.19180033401902,10.743252487505593,SVZ
4409824.4,5676277.6,51.21430363443989,10.707925996866864,SVZ
4411487.0,5672625.0,51.181740172621296,10.732614857357406,SVZ
4409651.6,5674827.1,51.201241770992276,10.705818828297641,SVZ
4411001.1,5672731.9,51.18262538666254,10.725641064015697,SVZ
4410860.9,5673497.8,51.189486186892566,10.723446442900698,SVZ
4411570.9,5672059.8,51.17667404665505,10.733953510725438,SVZ
4405725.4,5647666.9,50.956538912309526,10.656743522373432,SVZ
4404274.7,5650408.16,50.980933759026634,10.63538146048579,SVZ
4407479.8,5650945.0,50.986281934104994,10.680871841694996,SVZ
4406802.9,5648043.5,50.960098469289164,10.671978077406255,SVZ
4376471.4,5684737.63,51.28407131276194,10.227880278657741,SVZ
4408731.1,5668526.2,51.14447395928848,10.694251717148793,SVZ
4410553.0,5665310.8,51.11586656404023,10.721077820250615,SVZ
4411469.5,5665143.5,51.11450543529208,10.734204226327124,SVZ
4409749.4,5667207.5,51.132785064907644,10.709129719608944,SVZ
4410459.6,5666804.5,51.129275007166825,10.719373385709163,SVZ
4363304.26,5621430.51,50.71233489720237,10.06308260541581,SVZ
4444744.2,5659855.3,51.07115076858299,11.210141498091074,SVZ
4396807.0,5647799.7,50.956204590930305,10.529818398948558,SVZ
4397735.0,5650109.6,50.97712675594387,10.54237218585137,SVZ
4395206.5,5649575.9,50.97187653299751,10.506536235694963,SVZ
4407219.9,5683254.7,51.276583109388206,10.668853860813686,SVZ
4407284.5,5682709.3,51.27169264974817,10.669920838993713,SVZ
4419059.9,5645289.2,50.93719723117313,10.84700940024591,SVZ
4419648.0,5646283.1,50.94621180779078,10.855154947193865,SVZ
4420555.2,5644215.1,50.92775199381926,10.868511807435029,SVZ
4418490.5,5644391.2,50.92904660134461,10.839111467508742,SVZ
4447158.0,5661943.2,51.09014410017846,11.244271371215227,SVZ
4448980.5,5661518.1,51.08648836984249,11.270342009901846,SVZ
4363553.96,5623413.94,50.73021301520956,10.065882503154972,SVZ
4382116.1,5697798.79,51.402613862991515,10.304426683985968,SVZ
4453876.0,5654617.0,51.02487472498525,11.341085531983742,SVZ
4393768.78,5593079.46,50.463925263983356,10.502338241813955,SVZ
4408988.0,5682958.0,51.27420206411364,10.694261050349338,SVZ
4409160.2,5683434.2,51.2785087242148,10.696607017382817,SVZ
4408463.8,5682159.7,51.26694451766112,10.68695558463243,SVZ
4409585.0,5681999.0,51.265679381761366,10.703056399905607,SVZ
4453973.1,5671143.0,51.17342011219586,11.340361516806666,SVZ
4409743.7,5679562.8,51.24381240918088,10.705944014196051,SVZ
4363622.0,5628075.66,50.77211045649311,10.065119941576038,SVZ
4363385.15,5627310.71,50.76518237592293,10.062048200389786,SVZ
4429280.6,5668426.4,51.14648451677708,10.987869718441683,SVZ
4428999.4,5671551.3,51.174533807063064,10.983235113442099,SVZ
4430016.6,5671989.2,51.17859470817611,10.997692686776704,SVZ
4428991.2,5671561.5,51.174624458038345,10.98311586398217,SVZ
4428226.9,5672499.8,51.182961668716594,10.972001364461352,SVZ
4429835.3,5671174.0,51.17124611299716,10.99525955760214,SVZ
4417218.9,5669625.1,51.15563968310844,10.81526141825088,SVZ
4417308.2,5669285.7,51.15260250552523,10.816615516764978,SVZ
4398404.7,5595329.6,50.48496828765502,10.566997618737677,SVZ
4398647.3,5659706.2,51.06352275154989,10.552676257661838,SVZ
4371941.5,5618980.69,50.69229001675881,10.18615539228921,SVZ
